iter	Passed	Remaining
423	1886	2562
424	1889	2556
425	1895	2553
426	1899	2548
427	1902	2543
428	1906	2537
429	1909	2531
430	1913	2525
431	1917	2520
432	1920	2515
433	1924	2509
434	1927	2504
435	1931	2499
436	1938	2496
437	1942	2492
438	1945	2486
439	1950	2482
440	1954	2477
441	1957	2471
442	1961	2466
443	1964	2460
444	1968	2455
445	1972	2449
446	1975	2444
447	1979	2438
448	1983	2433
449	1986	2428
450	1990	2423
451	1994	2417
452	1997	2412
453	2002	2407
454	2005	2402
455	2009	2397
456	2013	2392
457	2017	2387
458	2022	2383
459	2025	2377
460	2031	2374
461	2034	2369
462	2038	2364
463	2044	2361
464	2048	2357
465	2051	2351
466	2056	2346
467	2060	2341
468	2063	2336
469	2068	2332
470	2071	2326
471	2077	2324
472	2081	2318
473	2084	2313
474	2088	2308
475	2092	2302
476	2097	2299
477	2102	2296
478	2106	2291
479	2111	2286
480	2116	2283
481	2120	2278
482	2124	2274
483	2130	2270
484	2133	2265
485	2137	2260
486	2141	2256
487	2145	2251
488	2150	2246
489	2154	2242
490	2158	2237
491	2163	2233
492	2166	2228
493	2171	2224
494	2176	2220
495	2179	2214
496	2184	2211
497	2188	2206
498	2192	2201
499	2196	2196
500	2199	2190
501	2203	2186
502	2208	2181
503	2212	2176
504	2216	2172
505	2221	2169
506	2224	2163
507	2229	2158
508	2232	2153
509	2236	2148
510	2239	2143
511	2242	2137
512	2247	2133
513	2250	2128
514	2254	2123
515	2257	2117
516	2261	2112
517	2264	2107
518	2269	2103
519	2273	2098
520	2276	2093
521	2280	2088
522	2283	2082
523	2288	2078
524	2291	2072
525	2295	2068
526	2299	2063
527	2303	2058
528	2307	2054
529	2310	2049
530	2315	2044
531	2318	2039
532	2322	2034
533	2326	2030
534	2330	2025
535	2335	2021
536	2338	2016
537	2342	2011
538	2347	2007
539	2350	2002
540	2354	1997
541	2357	1992
542	2361	1987
543	2365	1982
544	2368	1977
545	2372	1972
546	2376	1968
547	2380	1963
548	2383	1958
549	2388	1954
550	2391	1949
551	2395	1944
552	2399	1939
553	2403	1935
554	2407	1930
555	2411	1926
556	2415	1921
557	2420	1917
558	2424	1912
559	2428	1908
560	2432	1903
561	2435	1898
562	2440	1894
563	2443	1888
564	2448	1885
565	2452	1880
566	2456	1875
567	2461	1872
568	2465	1867
569	2470	1863
570	2475	1859
571	2479	1855
572	2482	1850
573	2487	1845
574	2490	1840
575	2495	1836
576	2498	1831
577	2501	1826
578	2506	1822
579	2510	1817
580	2514	1813
581	2517	1808
582	2521	1803
583	2524	1798
584	2529	1794
585	2532	1789
586	2536	1784
587	2539	1779
588	2542	1774
589	2547	1770
590	2550	1765
591	2555	1760
592	2558	1756
593	2562	1751
594	2565	1746
595	2569	1741
596	2573	1737
597	2577	1732
598	2580	1727
599	2584	1722
600	2587	1717
601	2591	1713
602	2595	1708
603	2599	1704
604	2603	1700
605	2608	1695
606	2612	1691
607	2615	1686
608	2619	1681
609	2622	1676
610	2627	1672
611	2630	1667
612	2634	1662
613	2637	1658
614	2640	1653
615	2644	1648
616	2648	1643
617	2652	1639
