iter	RMSE
161	2.660597261
162	2.651293924
163	2.64239446
164	2.633356613
165	2.625261337
166	2.620466171
167	2.611841637
168	2.606781765
169	2.603325496
170	2.594408504
171	2.585779393
172	2.583386189
173	2.574922453
174	2.566546262
175	2.558078191
176	2.553917479
177	2.549608509
178	2.541732977
179	2.536541116
180	2.529205919
181	2.520881841
182	2.51754874
183	2.514010001
184	2.510542624
185	2.507545822
186	2.500289516
187	2.495936963
188	2.488862544
189	2.481458544
190	2.474592141
191	2.471789453
192	2.466771012
193	2.459237414
194	2.451108623
195	2.445827035
196	2.438475591
197	2.430634086
198	2.427736988
199	2.424152223
200	2.417405596
201	2.4143896
202	2.412110817
203	2.404694544
204	2.397650785
205	2.388977697
206	2.383304045
207	2.379704798
208	2.373534466
209	2.367062304
210	2.361972335
211	2.35407855
212	2.348832317
213	2.346416808
214	2.338475654
215	2.335162531
216	2.332817397
217	2.325353606
218	2.319764496
219	2.315614189
220	2.311949874
221	2.304753346
222	2.299381255
223	2.293280357
224	2.290257771
225	2.286365356
226	2.280071598
227	2.27659335
228	2.269422276
229	2.2654387
230	2.262094392
231	2.260010161
232	2.256954533
233	2.251517456
234	2.24595013
235	2.238874562
236	2.233465732
237	2.225524846
238	2.221819215
239	2.215263562
240	2.213012158
241	2.21032722
242	2.207265244
243	2.201716322
244	2.196143676
245	2.189995057
246	2.184876725
247	2.182047808
248	2.176460673
249	2.170516674
250	2.168166436
251	2.164801888
252	2.157467202
253	2.155687917
254	2.153403978
255	2.150470971
256	2.146116716
257	2.139166289
258	2.137452622
259	2.131668114
260	2.125482936
261	2.122222503
262	2.119767223
263	2.114413313
264	2.110033993
265	2.104115865
266	2.101403493
267	2.09719572
268	2.091231718
269	2.086451644
270	2.082299335
271	2.076061643
272	2.07227122
273	2.067086048
274	2.065426388
275	2.061566762
276	2.056151695
277	2.05129044
278	2.046056981
279	2.040694073
280	2.036486077
281	2.033568881
282	2.029612662
283	2.024029884
284	2.019726541
285	2.015490877
286	2.011037204
287	2.006781104
288	2.004150393
289	2.001945338
290	1.997964329
291	1.994849552
292	1.98910999
293	1.986728513
294	1.983259528
295	1.978317185
296	1.97348386
297	1.969006803
298	1.966745027
299	1.964649096
300	1.961096563
301	1.957424664
302	1.953717006
303	1.950812384
304	1.948070171
305	1.943746471
306	1.941279751
307	1.939705107
308	1.934897104
309	1.931779421
310	1.926648303
311	1.923053221
312	1.921003331
313	1.915474343
314	1.91363126
315	1.911122617
316	1.907577818
317	1.903383499
318	1.899969985
319	1.897797619
320	1.894631801
321	1.891173129
322	1.887994544
323	1.882212008
324	1.877600611
325	1.873402721
326	1.87148229
327	1.866890083
328	1.865112252
329	1.863617689
330	1.862071397
331	1.86082945
332	1.855724859
333	1.852017108
334	1.847072038
335	1.843030893
336	1.839047407
337	1.836844195
338	1.831622704
339	1.827457143
340	1.823506464
341	1.81910136
342	1.816427877
343	1.813963044
344	1.810227429
345	1.808377646
346	1.805118062
347	1.801693375
348	1.797869548
349	1.79532308
350	1.791532226
351	1.788732451
352	1.786481396
353	1.784088031
354	1.780555184
355	1.775291875
356	1.773378781
357	1.768929798
358	1.764337915
359	1.760504875
360	1.758245048
361	1.757268423
362	1.754364551
363	1.750485298
364	1.746184256
365	1.744397349
366	1.743038293
367	1.739084564
368	1.737102133
369	1.733122261
370	1.730055025
371	1.725568909
372	1.721858455
373	1.718168955
374	1.714866512
375	1.713246999
376	1.710258079
377	1.706059901
378	1.703180119
379	1.699759903
380	1.696554178
381	1.693231492
382	1.689478755
383	1.688138671
384	1.684013153
385	1.680647875
386	1.677511583
387	1.674091869
388	1.672208438
389	1.668681439
390	1.665862611
391	1.661981835
392	1.658212751
393	1.65443864
394	1.651803315
395	1.648251567
396	1.645454534
397	1.643754064
398	1.640093745
399	1.638379609
400	1.636742694
401	1.63457893
402	1.631315219
403	1.629186333
404	1.627325927
405	1.625879616
406	1.621285325
407	1.618829784
408	1.617496383
409	1.614494559
410	1.612145188
411	1.60822096
412	1.605078242
413	1.601828697
414	1.598199058
415	1.59590747
416	1.593357754
417	1.59131318
418	1.588519489
419	1.58650207
420	1.58510519
421	1.58377439
422	1.581702417
423	1.578255561
424	1.574171822
425	1.572448705
426	1.567729829
427	1.564139091
428	1.56069222
429	1.558497808
430	1.557439069
431	1.556162073
432	1.552493388
433	1.550607314
434	1.54639535
435	1.543426608
436	1.539618248
437	1.536275048
438	1.535174743
439	1.531089446
440	1.528398872
441	1.525808351
442	1.523358849
443	1.522777259
444	1.520905817
445	1.517838132
446	1.516064683
447	1.51329582
448	1.509868667
449	1.506859759
450	1.502765687
451	1.499880972
452	1.498160767
453	1.496787576
454	1.495876113
455	1.492211767
456	1.489442888
457	1.487154292
458	1.486091792
459	1.483075478
460	1.481111586
461	1.478229715
462	1.474861814
463	1.471488554
464	1.469252578
465	1.466336093
466	1.463891827
467	1.462297778
468	1.460073168
469	1.456611322
470	1.454214554
471	1.45056503
472	1.447765683
473	1.445874144
474	1.444473523
475	1.44292784
476	1.439007292
477	1.4365998
478	1.43506354
479	1.433635804
480	1.432563915
481	1.43137961
482	1.428445186
483	1.424579102
484	1.423617244
485	1.420553507
486	1.419118149
487	1.416680941
488	1.413893181
489	1.410740157
490	1.409069736
491	1.407300943
492	1.406190254
493	1.403467475
494	1.401372289
495	1.397489516
496	1.394315674
497	1.392713709
498	1.389517487
499	1.386550194
500	1.385462575
501	1.382701825
502	1.379794848
503	1.376149937
504	1.374143825
505	1.373015325
506	1.371698975
507	1.368926141
508	1.368072883
509	1.364678376
510	1.36179246
511	1.361098481
512	1.357921194
513	1.356580092
514	1.354409422
515	1.351964774
516	1.349578534
517	1.345854888
518	1.343012134
519	1.339478734
520	1.338027536
521	1.336146987
522	1.335182471
523	1.333329119
524	1.332024779
525	1.329561371
526	1.327494444
527	1.326732843
528	1.32387908
529	1.320489374
530	1.317462005
531	1.314628861
532	1.312326019
533	1.310999964
534	1.308903314
535	1.306660971
536	1.304590086
537	1.303162993
538	1.301823253
539	1.298774121
540	1.295751448
541	1.293038646
542	1.290694113
543	1.28850903
544	1.286315195
545	1.283861762
546	1.282298625
547	1.280809013
548	1.278371809
549	1.276453732
550	1.275857231
551	1.275375527
552	1.274189363
553	1.271308187
554	1.270491876
555	1.267328055
556	1.266225411
557	1.263917104
558	1.262055293
559	1.258989615
560	1.256610841
561	1.254138536
562	1.252398746
563	1.249948461
564	1.247843751
565	1.246795421
566	1.24486579
567	1.242879837
568	1.239826136
569	1.2372545
570	1.234898655
571	1.232405263
572	1.229811774
573	1.2274194
574	1.225875104
575	1.223688946
576	1.221819298
577	1.221217679
578	1.219054143
579	1.218183902
580	1.216487969
581	1.215352898
582	1.212914854
583	1.211530979
584	1.209115678
585	1.208116992
586	1.206901355
587	1.205192327
588	1.202047269
589	1.199816796
590	1.198281744
591	1.196034817
592	1.193601681
593	1.191200286
594	1.188705222
595	1.187518335
596	1.18562758
597	1.184166988
598	1.181560766
599	1.180043893
600	1.177753499
601	1.175260429
602	1.174299431
603	1.173417796
604	1.172164712
605	1.17112108
606	1.168869966
607	1.168156827
608	1.166444433
609	1.164117942
610	1.162772813
611	1.161980271
612	1.159632955
613	1.157161472
614	1.154600072
615	1.152234791
616	1.149261412
617	1.147228173
618	1.145333812
619	1.144781209
620	1.143578231
621	1.141449529
622	1.140308997
623	1.139394087
624	1.137856713
625	1.136687387
626	1.135583489
627	1.133704872
628	1.132552348
629	1.130616956
630	1.128337088
631	1.126149908
632	1.123582413
633	1.121227515
634	1.119337561
635	1.118360065
636	1.117900673
637	1.116333273
638	1.113330913
639	1.111071885
640	1.108238129
641	1.107484427
642	1.106481951
643	1.105966446
644	1.104335838
645	1.102864993
646	1.100100915
647	1.098146981
648	1.09679332
649	1.094677998
650	1.093656865
651	1.092969767
652	1.090976589
653	1.090054794
654	1.087245126
655	1.085605727
656	1.083545134
657	1.080985591
658	1.079088105
659	1.077127994
660	1.075385232
661	1.073378609
662	1.072613402
663	1.071092822
664	1.06975455
665	1.06924888
666	1.067010986
667	1.065154374
668	1.064388181
669	1.06310902
670	1.061566446
671	1.060467677
672	1.058468969
673	1.057063834
674	1.055494512
675	1.053293087
676	1.052769498
677	1.051166309
678	1.049104514
679	1.048066667
680	1.046968771
681	1.045555207
682	1.044047814
683	1.043728265
684	1.041710246
685	1.039693495
686	1.037829605
687	1.035547123
688	1.033472615
689	1.031363357
690	1.030279643
691	1.02788662
692	1.026054048
693	1.024837118
694	1.022806034
695	1.021229972
696	1.020234145
697	1.018113386
698	1.016239443
699	1.014776071
700	1.012966202
701	1.011228271
702	1.009462437
703	1.008865342
704	1.006975173
705	1.005926333
706	1.004630815
707	1.004207553
708	1.003256719
709	1.002407738
710	1.000746936
711	0.9985261942
712	0.9975325536
713	0.9957440384
714	0.9934067553
715	0.9922138675
716	0.9904677754
717	0.9895271886
718	0.988316766
719	0.9869515754
720	0.9850018955
721	0.9834951678
722	0.982288338
723	0.9808960652
724	0.9805257287
725	0.9784317132
726	0.9775296365
727	0.9770491709
728	0.9750149496
729	0.9727602411
730	0.9711150427
731	0.9700097941
732	0.9687224614
733	0.9667898441
734	0.9659135163
735	0.9643947659
736	0.9634068124
737	0.9617050887
738	0.9594525347
739	0.9576949003
740	0.9557172963
741	0.9548359027
742	0.9539496517
743	0.9519397839
744	0.9515656256
745	0.9504203779
746	0.9496960138
747	0.9484046157
748	0.9466705886
749	0.9450984397
750	0.9447628267
751	0.9440054525
752	0.9422893297
753	0.9408545862
754	0.9391534899
755	0.9384922269
756	0.9375942985
757	0.9366388719
758	0.9347651273
759	0.9330059125
760	0.9310363743
761	0.9289060372
762	0.9274910424
763	0.9258349595
764	0.9242957221
765	0.9227396613
766	0.9215641854
767	0.9196874978
768	0.9181955384
769	0.9173462841
770	0.9155597227
771	0.9140623573
772	0.9127186369
773	0.9123997034
774	0.9103610855
775	0.9094981931
776	0.9079967558
777	0.9068334673
778	0.9058726315
779	0.9044456012
780	0.9034165245
781	0.9023627255
782	0.9010068826
783	0.8991339949
784	0.897314871
785	0.8957040403
786	0.8942374276
787	0.8933206952
788	0.8924444287
789	0.8904730878
790	0.8894605579
791	0.88798434
792	0.8872576125
793	0.8867417772
794	0.8854392331
795	0.8846087848
796	0.8831710157
797	0.882054747
798	0.8811915047
799	0.8792219497
800	0.8776383346
801	0.876779074
802	0.8758009754
803	0.8742827178
804	0.8728981777
805	0.8725822101
806	0.870814028
807	0.8700691423
808	0.869028469
809	0.8675693266
810	0.866429574
811	0.8645569736
812	0.8641832714
813	0.8626932914
814	0.861238107
815	0.8597116076
816	0.858882066
817	0.8576516957
818	0.856447594
819	0.8558245148
820	0.8542163629
821	0.8523977967
822	0.8507890953
823	0.8496201044
824	0.8486748251
825	0.8468511238
826	0.8450497281
827	0.8444287063
828	0.8441357335
829	0.8431555806
830	0.841829288
831	0.8414848758
832	0.8405358852
833	0.8398681494
834	0.8380681561
835	0.8366972894
836	0.8359716956
837	0.8350614431
838	0.8333512198
839	0.8316148437
840	0.8301380766
841	0.829351665
842	0.8277219542
843	0.8267349374
844	0.8254183385
845	0.8245142499
846	0.822843144
847	0.8213618645
848	0.8200009952
849	0.8184578213
850	0.8177755648
851	0.8165874113
852	0.815273978
853	0.8140079399
854	0.8136316677
855	0.8120182903
856	0.8105483173
857	0.8093865917
858	0.8087395907
859	0.8076606757
860	0.8065592483
861	0.8059852633
862	0.8044233772
863	0.8033331715
864	0.8023142842
865	0.8007045309
866	0.7995755104
867	0.7981631827
868	0.7973181995
869	0.7961843334
870	0.7951015644
871	0.7939726213
872	0.7934286164
873	0.7924477592
874	0.7912936231
875	0.7903087791
876	0.7897371861
877	0.7884951132
878	0.7879144941
879	0.7865511448
880	0.7860119873
881	0.78534776
882	0.7840813834
883	0.7824377909
884	0.7809749249
885	0.7793091272
886	0.778788325
887	0.7774798101
888	0.7765726086
889	0.7763162239
890	0.7753037908
891	0.7745731774
892	0.7739902834
893	0.7728952725
894	0.7720074173
895	0.771369765
896	0.7702265272
897	0.768829417
898	0.7678374617
899	0.7672861867
900	0.7665821354
901	0.7648214956
902	0.7637507985
903	0.7628077285
904	0.7615838196
905	0.760699727
906	0.7599256404
907	0.7589862023
908	0.7573746292
909	0.7558533397
910	0.7546368679
911	0.7533485047
912	0.7530929605
913	0.7525587172
914	0.7510833877
915	0.7497369698
916	0.7484737424
917	0.7475150613
918	0.7466254407
919	0.745167702
920	0.7436944502
921	0.7423478081
922	0.7411044215
923	0.740372594
924	0.7394382409
925	0.738217767
926	0.7377727895
927	0.7365325065
928	0.7352541994
929	0.7338058952
930	0.732672552
931	0.7311412744
932	0.7302167188
933	0.7296843109
934	0.7283610805
935	0.7273476655
936	0.7262363389
937	0.7254382786
938	0.724784445
939	0.723382222
940	0.7229518005
941	0.7215632771
942	0.7202765811
943	0.7196297031
944	0.7187313674
945	0.7184930885
946	0.7171723719
947	0.7166340133
948	0.7159386983
949	0.7154074494
950	0.714244399
951	0.7136441236
952	0.7130975046
953	0.711675154
954	0.7113111592
955	0.7101219162
956	0.7094504394
957	0.7081437457
958	0.7071857308
959	0.706032384
960	0.7046832415
961	0.7037345778
962	0.7026416624
963	0.7014413165
964	0.7003260047
965	0.6990361832
966	0.698548819
967	0.6976421493
968	0.697060154
969	0.6967162733
970	0.6965776787
971	0.6955338949
972	0.6946959999
973	0.6941301828
974	0.6929162906
975	0.6922299899
976	0.691420966
977	0.6902268127
978	0.6893021951
979	0.6878918476
980	0.6872377557
981	0.6862073445
982	0.6853863175
983	0.6840113189
984	0.6838481346
985	0.6834681932
986	0.6821760356
987	0.6814760362
988	0.681007669
989	0.679811177
990	0.6793888451
991	0.6786455872
992	0.6777471768
993	0.6770662695
994	0.6758824233
995	0.6746996321
996	0.6735506586
997	0.6723093644
998	0.6711873778
999	0.6699823815
