iter	RMSE
0	14.12599583
1	13.48241071
2	12.87555204
3	12.27728727
4	11.72128303
5	11.23717294
6	10.7379159
7	10.25812241
8	9.814757692
9	9.444486996
10	9.069333305
11	8.696972869
12	8.351163438
13	8.034537284
14	7.731144414
15	7.432227527
16	7.170359656
17	6.911484955
18	6.674788804
19	6.465061583
20	6.265640913
21	6.07681261
22	5.896976869
23	5.723608319
24	5.575825176
25	5.425541871
26	5.292072418
27	5.17818732
28	5.054487685
29	4.947391605
30	4.838643095
31	4.74430075
32	4.652576295
33	4.565944052
34	4.491995425
35	4.422835915
36	4.352470121
37	4.287292049
38	4.2262438
39	4.168591276
40	4.117083305
41	4.068139654
42	4.024685264
43	3.986948219
44	3.947504101
45	3.907080541
46	3.871855921
47	3.839000646
48	3.808720446
49	3.779936596
50	3.750514477
51	3.725334029
52	3.700826392
53	3.675608417
54	3.651582798
55	3.626633446
56	3.601696326
57	3.583423934
58	3.567110595
59	3.547021309
60	3.527834785
61	3.509460805
62	3.495276877
63	3.47840322
64	3.459313834
65	3.44720485
66	3.434996333
67	3.420601429
68	3.403765317
69	3.391883052
70	3.378824426
71	3.365054787
72	3.353633297
73	3.340583791
74	3.327684631
75	3.319661007
76	3.309726032
77	3.301933675
78	3.293617086
79	3.286307822
80	3.277402422
81	3.269361998
82	3.258925984
83	3.247151623
84	3.235106114
85	3.221657391
86	3.206356813
87	3.19568506
88	3.187088215
89	3.177216208
90	3.171725324
91	3.163187086
92	3.153620787
93	3.142816986
94	3.134516159
95	3.129001669
96	3.120426729
97	3.113168694
98	3.10750539
99	3.099196576
100	3.087428961
101	3.083532037
102	3.075682693
103	3.063603198
104	3.0554862
105	3.04361904
106	3.039095062
107	3.032844317
108	3.026652809
109	3.017385953
110	3.013719233
111	3.006564227
112	2.997616933
113	2.989732981
114	2.982575234
115	2.970202078
116	2.96558216
117	2.96039437
118	2.952088384
119	2.943530344
120	2.937104986
121	2.925579808
122	2.918383261
123	2.91650394
124	2.90932091
125	2.904832654
126	2.896892007
127	2.885297138
128	2.878167719
129	2.872631082
130	2.868101974
131	2.856711203
132	2.851251692
133	2.847435736
134	2.841514214
135	2.83399086
136	2.828425543
137	2.824730702
138	2.816218249
139	2.805677231
140	2.798522353
141	2.79082744
142	2.785350457
143	2.781249058
144	2.77673688
145	2.768214773
146	2.755664508
147	2.752157525
148	2.744499773
149	2.733126741
150	2.730077628
151	2.72510426
152	2.716470387
153	2.706741935
154	2.703409437
155	2.695247896
156	2.685894553
157	2.68147405
158	2.675785002
159	2.671733566
160	2.663443337
